Consumption_com,Consumption_ind,Consumption_elc,Consumption_tot,Net_Generation_com,Net_Generation_ind,Net_Generation_elc,Net_Generation_tot,State FIPS,Annual_Avg_Wind_Speed
0.0,0.0,458423.55486,458423.55486,0.0,0.0,169.0,169.0,2,4.619468101731547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5858981910622503
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.9058290500098876
0.0,0.0,1466486.0999999999,1466486.0999999999,0.0,0.0,542.0,542.0,4,3.3238942469493193
16717.94154,14371.563779999999,36547473.286979996,36578562.7923,6.0,5.0,13498.0,13509.0,6,3.123959565165805
3226.2694199999996,9092.213819999999,25497793.820699997,25510112.30394,1.0,3.0,9417.0,9421.0,8,3.301879680863988
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.50112478354429
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.956315843265657
11145.29436,0.0,54338296.057739995,54349441.3521,4.0,0.0,20068.0,20072.0,19,5.012720236262142
0.0,0.0,6981647.024879999,6981647.024879999,0.0,0.0,2578.0,2578.0,16,3.4839880426713563
12905.077679999999,0.0,28860739.745219998,28873644.822899997,5.0,0.0,10659.0,10663.0,17,4.865890648059764
2053.08054,0.0,13264366.7745,13266419.855039999,1.0,0.0,4899.0,4899.0,18,4.645686311146351
0.0,0.0,38208415.44384,38208415.44384,0.0,0.0,14111.0,14111.0,20,4.912878549587695
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.829976302346668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.432709106117738
54846.58014,3812.86386,526468.5099,585127.9539,20.0,1.0,194.0,216.0,25,4.091857864595013
0.0,0.0,4514137.5130199995,4514137.5130199995,0.0,0.0,1667.0,1667.0,23,4.374762143475076
0.0,0.0,12714727.784219999,12714727.784219999,0.0,0.0,4696.0,4696.0,26,5.336375670616189
78017.06052,0.0,26819097.7968,26897114.85732,29.0,0.0,9905.0,9933.0,27,4.788728424494483
0.0,0.0,3037679.30754,3037679.30754,0.0,0.0,1122.0,1122.0,29,4.377060289967123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2.9902402634858554
0.0,0.0,5794966.472759999,5794966.472759999,0.0,0.0,2140.0,2140.0,30,4.926374383852524
0.0,0.0,17011.23876,17011.23876,0.0,0.0,6.0,6.0,37,3.894486214996939
0.0,0.0,22127222.16846,22127222.16846,0.0,0.0,8172.0,8172.0,38,5.221038200302858
0.0,0.0,10285053.613739999,10285053.613739999,0.0,0.0,3798.0,3798.0,31,4.952049145175288
0.0,0.0,56313.06624,56313.06624,0.0,0.0,21.0,21.0,34,4.16531253410728
7625.72772,0.0,9755065.5372,9762397.967699999,3.0,0.0,3603.0,3605.0,35,3.7008615813572088
0.0,0.0,931218.6734999999,931218.6734999999,0.0,0.0,344.0,344.0,32,3.5565835320685246
0.0,4399.458299999999,10664286.9192,10668979.674719999,0.0,2.0,3939.0,3940.0,36,4.602228688384729
7039.13328,139902.77393999998,3225096.2311199997,3372038.1383399996,3.0,52.0,1191.0,1245.0,39,4.480342052620333
0.0,0.0,54341522.32715999,54341522.32715999,0.0,0.0,20069.0,20069.0,40,4.840244112047386
0.0,0.0,19379613.811499998,19379613.811499998,0.0,0.0,7157.0,7157.0,41,3.5362280544826317
0.0,0.0,9412787.681459999,9412787.681459999,0.0,0.0,3476.0,3476.0,42,3.871062530790843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,3.1028326201437344
0.0,0.0,10057161.673799999,10057161.673799999,0.0,0.0,3714.0,3714.0,46,5.146028131209541
0.0,0.0,102067.43255999999,102067.43255999999,0.0,0.0,38.0,38.0,47,3.8045004856518645
130223.96568,0.0,155646968.7096,155777192.67528,48.0,0.0,57483.0,57531.0,48,4.625819295452579
0.0,0.0,2226419.19702,2226419.19702,0.0,0.0,822.0,822.0,49,3.5074590178130824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,3.2666550024483927
0.0,0.0,788382.92736,788382.92736,0.0,0.0,291.0,291.0,50,3.2007493156454045
0.0,0.0,21774972.20724,21774972.20724,0.0,0.0,8042.0,8042.0,53,3.2598225632256868
0.0,19650.91374,4083283.8968399996,4102934.81058,0.0,7.0,1508.0,1515.0,55,5.17673549686184
0.0,0.0,11884989.94884,11884989.94884,0.0,0.0,4389.0,4389.0,56,4.435373528249903
